name,altitude,ascent_count,rating,region,report_count,rating_count,bb_count,hotel_count,hostel_count,cottage_count,camping_count,island,county,latitude,longitude,neighbor_count_0_1,neighbor_count_1_2.5,neighbor_count_2.5_5,neighbor_count_5_10,neighbor_count_10_15,neighbor_count_15_20,nearest_city_dist,nearest_city_population,population_0_25,population_25_50,population_50_75,population_75_100,beginner_friendly,national_park
Ben Lui,1130,8115,4.0,Argyll,125,158,58,67,6,101,101,,Stirling,56.397004,-4.810509,0,1,0,0,6,18,40.73,8575,0,96148,1564440,981171,0,
Binnein Mor,1130,4374,3.85,Fort William,105,65,72,41,18,147,147,,Highland,56.754376,-4.925796,0,2,3,10,8,6,13.13,10459,10459,0,8575,367828,0,
Creag Meagaidh,1130,5252,3.87,Fort William,84,91,72,41,18,147,147,,Highland,56.952023,-4.602117,0,0,0,2,7,5,33.91,10459,0,10459,76545,106335,0,
An Riabhachan,1129,2170,3.6,Loch Ness,50,28,69,55,11,97,97,,Highland,57.362438,-5.104728,0,0,2,5,7,8,48.13,6545,0,6545,85769,22360,0,
Ben Cruachan,1126,7104,4.13,Argyll,123,144,58,67,6,101,101,,Argyll and Bute,56.42684,-5.131834,0,0,1,0,1,6,20.99,8575,8575,10459,193082,1976990,0,
Carn nan Gabhar,1121,6601,3.79,Perthshire,108,93,58,71,5,96,96,,Perth and Kinross,56.839836,-3.688055,0,0,1,3,5,4,45.75,6061,0,6061,303126,669177,0,
A' Chralaig,1120,3208,3.65,Kintail,74,50,3,3,1,41,41,,Highland,57.184186,-5.154837,0,0,3,11,12,4,40.63,10459,0,10459,76545,23658,0,
An Stuc,1118,8076,3.9,Perthshire,150,145,58,71,5,96,96,,Perth and Kinross,56.560092,-4.216265,0,0,3,4,1,2,30.78,7368,0,23130,543455,2901522,0,
Carn a' Choire Bhoidheach,1118,7619,2.82,Cairngorms,165,105,37,29,9,182,182,,Aberdeenshire,56.945773,-3.272707,0,2,1,3,5,5,34.8,6061,0,34868,563864,406412,0,Cairngorms
Meall Garbh (Ben Lawers),1118,8475,3.4,Perthshire,139,112,58,71,5,96,96,,Perth and Kinross,56.566122,-4.207714,0,0,3,4,1,2,30.84,7368,0,23130,516816,2916179,0,
Sgor Gaoith,1118,6853,3.87,Cairngorms,128,129,37,29,9,182,182,,Highland,57.068561,-3.810856,0,0,0,8,4,3,51.85,70000,0,0,148644,382837,0,Cairngorms
Aonach Beag (Alder),1116,2747,3.56,Cairngorms,62,42,37,29,9,182,182,,Highland,56.833498,-4.529175,0,1,1,7,9,3,35.08,10459,0,10459,85943,302360,0,Cairngorms
Stob Coire an Laoigh,1116,3511,3.54,Fort William,79,47,72,41,18,147,147,,Highland,56.810877,-4.884891,0,0,3,11,4,7,13.44,10459,10459,0,8575,307959,0,
Stob Coire Easain,1115,3910,3.64,Fort William,64,59,72,41,18,147,147,,Highland,56.818199,-4.77371,0,0,1,4,15,10,20.17,10459,10459,0,8575,341941,0,
Monadh Mor,1113,3200,3.24,Cairngorms,80,55,37,29,9,182,182,,Aberdeenshire/Highland,57.026791,-3.750086,0,0,2,5,5,7,57.69,70000,0,0,198316,409958,0,Cairngorms
Tom a' Choinich,1112,3428,3.5,Loch Ness,71,57,69,55,11,97,97,,Highland,57.299518,-5.048959,0,0,3,5,6,13,49.74,6545,0,6545,85769,22360,0,
Sgurr Mor,1110,3184,3.74,Ullapool,82,57,24,16,5,72,72,,Highland,57.700133,-5.016765,0,2,2,1,6,7,36.86,6545,0,11855,79773,31084,0,
Sgurr nan Conbhairean,1109,3598,3.72,Kintail,66,54,3,3,1,41,41,,Highland,57.177622,-5.095407,0,1,1,6,14,8,39.79,10459,0,10459,76545,23658,0,
Meall a'Bhuiridh,1108,5984,3.32,Fort William,94,85,72,41,18,147,147,,Highland,56.612217,-4.852127,0,0,1,4,12,11,27.77,10459,0,19034,103941,1785978,0,
Stob a' Choire Mheadhoin,1106,3969,3.56,Fort William,66,59,72,41,18,147,147,,Highland,56.823685,-4.760183,0,0,0,5,13,11,21.0,10459,10459,0,8575,341941,0,
Beinn Ghlas,1103,15651,3.43,Perthshire,245,193,58,71,5,96,96,,Perth and Kinross,56.535996,-4.236992,0,1,3,1,4,3,30.08,7368,0,23130,656548,2773192,0,
Beinn Eibhinn,1102,2676,3.48,Cairngorms,62,42,37,29,9,182,182,,Highland,56.825255,-4.542077,0,1,0,9,5,6,34.27,10459,0,10459,15943,406811,0,Cairngorms
Mullach Fraoch-choire,1102,2912,3.82,Kintail,68,54,3,3,1,41,41,,Highland,57.205379,-5.155652,0,0,2,12,12,7,42.98,10459,0,10459,76545,23658,0,
Creise,1100,5420,3.78,Fort William,92,75,72,41,18,147,147,,Highland,56.614448,-4.871987,0,0,0,7,11,12,26.91,10459,0,19034,103941,1744238,0,
Sgurr a'Mhaim,1099,6004,3.87,Fort William,129,75,72,41,18,147,147,,Highland,56.75592,-5.00369,0,3,3,8,7,7,9.42,10459,10459,8575,0,286886,0,
Sgurr Choinnich Mor,1094,3276,3.67,Fort William,73,48,72,41,18,147,147,,Highland,56.80043,-4.90396,0,0,4,11,3,9,12.44,10459,10459,0,8575,273851,0,
Sgurr nan Clach Geala,1093,3383,3.87,Ullapool,74,59,24,16,5,72,72,,Highland,57.696278,-5.048237,0,2,3,0,8,5,38.52,6545,0,11855,79773,31084,0,
